jam_tidur,jumlah_tugas,mood,stress_label,gejala_selected
3,9,1,Tinggi,"G1,G2,G3,G4,G5,G6,G7"
4,8,2,Tinggi,"G1,G2,G3,G4,G5"
4,7,3,Tinggi,"G1,G2,G3"
5,8,2,Tinggi,"G1,G2,G3,G4,G5,G6"
5,7,3,Tinggi,"G1,G2,G3,G4"
5,6,4,Sedang,"G2,G3,G5,G6"
6,5,4,Sedang,"G3,G5,G7"
6,5,5,Sedang,"G3,G6,G7"
6,6,4,Sedang,"G3,G5,G6"
6,4,5,Sedang,"G3,G7"
7,3,6,Rendah,"G7"
7,4,6,Rendah,""
7,3,7,Rendah,""
7,2,8,Rendah,""
8,2,8,Rendah,""
8,3,9,Rendah,""
8,1,10,Rendah,""
9,2,9,Rendah,""
10,1,10,Rendah,""
2,10,1,Tinggi,"G1,G2,G3,G4,G5,G6,G7"
